City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,53.87,79,100,6.35,overcast clouds
1,Surt,LY,31.2089,16.5887,77.67,70,16,17.2,few clouds
2,Hermanus,ZA,-34.4187,19.2345,68.9,66,8,6.02,clear sky
3,Longyearbyen,SJ,78.2186,15.6401,21.04,73,20,8.05,few clouds
4,New Norfolk,AU,-42.7826,147.0587,47.7,65,41,1.99,scattered clouds
5,Dudinka,RU,69.4058,86.1778,18.64,84,96,16.46,overcast clouds
6,Half Moon Bay,US,37.4636,-122.4286,60.1,78,40,0.0,scattered clouds
7,Mbaiki,CF,3.8678,17.9892,79.34,80,89,2.66,light rain
8,Ribeira Grande,PT,38.5167,-28.7,73.8,73,40,18.41,scattered clouds
9,Hasaki,JP,35.7333,140.8333,68.4,86,36,6.93,scattered clouds
10,Kapaa,US,22.0752,-159.319,75.52,75,90,5.01,light rain
11,Trojes,AL,41.756,19.962,61.29,82,75,8.23,broken clouds
12,Taoudenni,ML,22.6783,-3.9836,105.1,6,68,1.95,broken clouds
13,Kavieng,PG,-2.5744,150.7967,80.94,80,99,8.43,light rain
14,Utinga,BR,-5.8172,-35.3954,88.65,58,75,18.41,broken clouds
15,Busselton,AU,-33.65,115.3333,46.09,80,2,9.48,clear sky
16,Cape Town,ZA,-33.9258,18.4232,69.12,46,20,17.27,few clouds
17,Dyersburg,US,36.0345,-89.3856,81.37,69,1,4.61,clear sky
18,Mataura,NZ,-46.1927,168.8643,42.48,97,35,3.06,scattered clouds
19,Tuatapere,NZ,-46.1333,167.6833,42.82,91,11,4.59,few clouds
20,Port Shepstone,ZA,-30.7414,30.455,67.23,77,21,27.83,few clouds
21,Port Blair,IN,11.6667,92.75,79.83,85,99,15.03,overcast clouds
22,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,66,22,9.57,few clouds
23,Punta Arenas,CL,-53.15,-70.9167,57.31,47,40,17.27,scattered clouds
24,Qaanaaq,GL,77.484,-69.3632,25.32,94,100,11.39,light snow
25,Balykshi,KZ,47.0667,51.8667,46.4,39,0,6.71,clear sky
26,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,93,75,9.22,broken clouds
27,Albany,US,42.6001,-73.9662,65.8,74,100,4.0,overcast clouds
28,Hashtrud,IR,37.4779,47.0508,51.12,46,0,5.53,clear sky
29,Anadyr,RU,64.75,177.4833,25.3,100,40,4.0,light snow
30,Cockburn Town,TC,21.4612,-71.1419,82.98,73,92,13.09,overcast clouds
31,Armidale,AU,-30.5167,151.65,51.91,69,0,3.4,clear sky
32,Ushuaia,AR,-54.8,-68.3,46.06,61,75,14.97,light rain
33,Lebu,CL,-37.6167,-73.65,58.68,70,10,10.27,clear sky
34,Halifax,CA,44.6453,-63.5724,57.0,57,2,1.01,clear sky
35,Bluff,NZ,-46.6,168.3333,42.8,91,54,9.17,broken clouds
36,Ballina,AU,-28.8667,153.5667,68.18,88,0,6.91,clear sky
37,Nerchinskiy Zavod,RU,51.3088,119.61,35.06,97,100,16.53,moderate rain
38,Sol-Iletsk,RU,51.1631,54.9918,47.1,38,0,7.11,clear sky
39,Coahuayana,MX,18.7333,-103.6833,86.09,74,70,0.72,broken clouds
