City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ouadda,CF,2021-10-04 11:41:49,8.0777,22.4007,81.97,66,91,4.14
1,Ancud,CL,2021-10-04 11:41:49,-41.8697,-73.8203,40.53,78,100,3.51
2,Jamestown,US,2021-10-04 11:46:09,42.097,-79.2353,65.79,98,90,1.01
3,Mataura,NZ,2021-10-04 11:46:09,-46.1927,168.8643,47.48,88,79,8.34
4,Iqaluit,CA,2021-10-04 11:41:51,63.7506,-68.5145,26.33,80,20,0.0
5,Cape Town,ZA,2021-10-04 11:37:27,-33.9258,18.4232,70.21,36,0,4.0
6,San Jose,US,2021-10-04 11:41:51,37.3394,-121.895,71.58,36,1,3.44
7,Punta Arenas,CL,2021-10-04 11:40:46,-53.15,-70.9167,41.11,70,75,13.8
8,Fredericton,CA,2021-10-04 11:39:45,45.9454,-66.6656,38.25,93,75,2.3
9,Ushuaia,AR,2021-10-04 11:41:52,-54.8,-68.3,37.06,87,75,28.77
10,Abu Samrah,SY,2021-10-04 11:41:52,35.3029,37.1841,83.62,21,0,16.02
11,Yellowknife,CA,2021-10-04 11:41:53,62.456,-114.3525,40.41,94,90,4.61
12,Barrow,US,2021-10-04 11:41:54,71.2906,-156.7887,24.82,86,40,6.91
13,Qaanaaq,GL,2021-10-04 11:41:54,77.484,-69.3632,24.28,73,100,7.65
14,Maumere,ID,2021-10-04 11:41:55,-8.6199,122.2111,78.53,80,42,8.66
15,Albany,US,2021-10-04 11:41:44,42.6001,-73.9662,60.8,95,100,4.68
16,Saint-Philippe,RE,2021-10-04 11:41:55,-21.3585,55.7679,76.55,83,55,12.57
17,Rikitea,PF,2021-10-04 11:38:29,-23.1203,-134.9692,72.88,70,81,18.86
18,Kavaratti,IN,2021-10-04 11:41:56,10.5669,72.642,82.51,78,97,9.19
19,Atuona,PF,2021-10-04 11:41:56,-9.8,-139.0333,76.91,76,87,17.0
20,Bredasdorp,ZA,2021-10-04 11:41:57,-34.5322,20.0403,66.27,48,40,11.5
21,Adamas,GR,2021-10-04 11:41:57,36.7333,24.4333,69.22,63,59,23.29
22,Bluff,NZ,2021-10-04 11:41:58,-46.6,168.3333,47.8,82,88,17.63
23,Poum,NC,2021-10-04 11:41:58,-20.2333,164.0167,75.0,83,2,6.02
24,Airai,TL,2021-10-04 11:41:59,-8.9266,125.4092,62.33,90,69,1.79
25,Plettenberg Bay,ZA,2021-10-04 11:41:59,-34.0527,23.3716,58.26,67,32,6.87
26,Lebu,CL,2021-10-04 11:42:00,-37.6167,-73.65,47.43,77,4,18.34
27,Arlit,NE,2021-10-04 11:42:00,18.7369,7.3853,100.49,11,0,5.44
28,Victoria,HK,2021-10-04 11:42:01,22.2855,114.1577,87.85,72,3,1.01
29,Nikolskoye,RU,2021-10-04 11:42:01,59.7035,30.7861,54.01,59,0,10.25
30,Stornoway,GB,2021-10-04 11:42:02,58.2093,-6.3865,54.93,76,40,9.22
31,Alofi,NU,2021-10-04 11:42:03,-19.0595,-169.9187,75.09,88,75,9.22
32,Chernyshevskiy,RU,2021-10-04 11:42:03,63.0128,112.4714,28.71,88,85,4.05
33,Pinega,RU,2021-10-04 11:42:04,64.7001,43.3936,51.8,62,10,9.44
34,Laguna,US,2021-10-04 11:42:04,38.421,-121.4238,73.24,56,1,0.0
35,Bambous Virieux,MU,2021-10-04 11:42:05,-20.3428,57.7575,77.25,73,75,12.66
36,East London,ZA,2021-10-04 11:39:24,-33.0153,27.9116,61.99,66,49,10.76
37,Vostok,RU,2021-10-04 11:42:05,46.4856,135.8833,37.78,93,100,2.66
38,Kapaa,US,2021-10-04 11:41:04,22.0752,-159.319,75.52,83,40,13.8
39,Severo-Kurilsk,RU,2021-10-04 11:42:06,50.6789,156.125,46.62,84,24,15.64
40,Hermanus,ZA,2021-10-04 11:42:06,-34.4187,19.2345,69.91,54,2,18.84
41,Polson,US,2021-10-04 11:42:07,47.6936,-114.1632,47.77,52,53,1.74
42,Labuhan,ID,2021-10-04 11:42:07,-6.8844,112.2051,80.98,75,100,5.26
43,Baculin,PH,2021-10-04 11:42:08,7.4525,126.5842,79.57,87,98,5.95
44,Glenwood Springs,US,2021-10-04 11:42:08,39.5505,-107.3248,46.2,63,32,2.89
45,Busselton,AU,2021-10-04 11:42:09,-33.65,115.3333,55.04,86,88,13.6
46,Yuzhou,CN,2021-10-04 11:42:09,34.1628,113.4639,59.27,82,100,20.27
47,Unai,BR,2021-10-04 11:42:10,-16.3575,-46.9061,90.55,36,81,3.67
48,Aguas Vermelhas,BR,2021-10-04 11:42:10,-15.7472,-41.46,79.59,46,61,7.47
49,Vaini,TO,2021-10-04 11:42:11,-21.2,-175.2,73.56,94,40,8.05
50,Kishi,NG,2021-10-04 11:42:11,9.0833,3.85,87.64,55,24,4.65
51,Yarega,RU,2021-10-04 11:42:12,63.4354,53.5765,43.16,68,29,6.02
52,Qaqortoq,GL,2021-10-04 11:42:12,60.7167,-46.0333,34.3,62,18,3.76
53,Salalah,OM,2021-10-04 11:42:13,17.0151,54.0924,86.09,70,20,14.97
54,Kekri,IN,2021-10-04 11:42:13,25.9667,75.15,88.99,59,20,1.05
55,Popondetta,PG,2021-10-04 11:42:14,-8.7537,148.2534,74.66,96,77,2.1
56,Harnosand,SE,2021-10-04 11:42:14,62.6323,17.9379,55.42,93,100,12.39
57,Lesnyye Polyany,RU,2021-10-04 11:42:15,55.9667,37.8667,52.16,55,79,6.6
58,Worth,US,2021-10-04 11:42:16,41.6898,-87.7973,66.09,91,54,1.99
59,Ayan,RU,2021-10-04 11:42:16,56.45,138.1667,39.13,57,0,15.9
60,Cabrera,DO,2021-10-04 11:42:17,19.6426,-69.9049,75.33,80,92,11.83
61,Vila Velha,BR,2021-10-04 11:38:04,-20.3297,-40.2925,80.55,65,75,9.22
62,Vicuna,CL,2021-10-04 11:42:17,-30.0319,-70.7081,42.53,12,0,2.75
63,Chokurdakh,RU,2021-10-04 11:42:18,70.6333,147.9167,25.25,95,98,12.24
64,Butaritari,KI,2021-10-04 11:42:18,3.0707,172.7902,82.62,69,54,13.67
65,Puerto Ayora,EC,2021-10-04 11:42:19,-0.7393,-90.3518,68.54,82,81,10.74
66,Ajdabiya,LY,2021-10-04 11:42:19,30.7554,20.2263,82.6,35,0,8.59
67,Mahebourg,MU,2021-10-04 11:42:20,-20.4081,57.7,77.29,73,75,12.66
68,Dikson,RU,2021-10-04 11:42:20,73.5069,80.5464,35.85,92,100,9.71
69,Marataizes,BR,2021-10-04 11:42:21,-21.0433,-40.8244,77.52,79,71,5.84
70,Mbanza-Ngungu,CD,2021-10-04 11:42:21,-5.25,14.8667,83.21,51,95,5.48
71,Naze,JP,2021-10-04 11:42:22,28.3667,129.4833,77.59,77,23,20.76
72,Hobart,AU,2021-10-04 11:42:22,-42.8794,147.3294,53.46,82,40,1.01
73,Ostrovnoy,RU,2021-10-04 11:42:23,68.0531,39.5131,51.15,69,100,31.14
74,Luanda,AO,2021-10-04 11:40:20,-8.8368,13.2343,77.0,73,75,5.75
75,Carnarvon,AU,2021-10-04 11:42:23,-24.8667,113.6333,68.07,64,0,21.85
76,Pacific Grove,US,2021-10-04 11:41:04,36.6177,-121.9166,71.28,62,1,0.0
77,Praia Da Vitoria,PT,2021-10-04 11:42:24,38.7333,-27.0667,75.45,78,20,3.51
78,Ponta Do Sol,PT,2021-10-04 11:42:24,32.6667,-17.1,77.72,68,87,6.44
79,Lorengau,PG,2021-10-04 11:42:25,-2.0226,147.2712,81.19,74,78,4.32
80,Batamshinskiy,KZ,2021-10-04 11:42:26,50.5594,58.2747,35.58,38,15,15.75
81,Naryan-Mar,RU,2021-10-04 11:42:26,67.6713,53.087,48.18,80,85,15.75
82,Geraldton,AU,2021-10-04 11:42:27,-28.7667,114.6,61.21,63,40,8.05
83,Broome,US,2021-10-04 11:42:27,42.2506,-75.833,65.55,80,90,1.99
84,Bangassou,CF,2021-10-04 11:42:28,4.7413,22.8184,75.54,92,95,2.75
85,Klaksvik,FO,2021-10-04 11:42:28,62.2266,-6.589,49.12,86,99,15.03
86,Sinop,TR,2021-10-04 11:42:29,41.7711,34.8709,57.63,80,91,6.71
87,Mount Gambier,AU,2021-10-04 11:42:29,-37.8333,140.7667,49.91,87,75,17.27
88,Senador Jose Porfirio,BR,2021-10-04 11:42:30,-2.5908,-51.9542,80.98,72,69,5.03
89,Khatanga,RU,2021-10-04 11:42:30,71.9667,102.5,29.07,96,100,19.19
90,Oussouye,SN,2021-10-04 11:42:31,12.485,-16.5469,86.18,67,96,4.61
91,Caravelas,BR,2021-10-04 11:42:31,-17.7125,-39.2481,83.35,58,19,11.45
92,Tuktoyaktuk,CA,2021-10-04 11:42:32,69.4541,-133.0374,31.66,77,100,13.4
93,Upernavik,GL,2021-10-04 11:42:32,72.7868,-56.1549,28.81,78,58,4.83
94,Provideniya,RU,2021-10-04 11:42:33,64.3833,-173.3,33.75,98,100,12.21
95,Faanui,PF,2021-10-04 11:42:33,-16.4833,-151.75,78.33,73,7,11.18
96,Mouzouras,GR,2021-10-04 11:42:34,35.5333,24.15,74.43,73,40,9.22
